Case No.,NAME OF OWNER,Tenure,R.S.NO.,ORIGINAL PLOT,Area in (Sq.Yds.),Area in (Sq.m),Perimeter (yd),FINAL PLOT,Area in (Sq.Yds.),Area in (Sq.m),Perimeter (yd),Type,Layer,REMARKS
104,Plot 104,DXF,R.S.104,104,4212.95,3522.57,316.48,104,22811.44,19073.27,857.56,LWPOLYLINE,0,Original plot 104
105,Plot 105,DXF,R.S.105,105,1294.35,1082.25,366.63,105,3645.82,3048.37,305.40,LWPOLYLINE,0,Original plot 105
106,Plot 106,DXF,R.S.106,106,1258.68,1052.42,248.24,106,8623.11,7210.02,4514.01,LWPOLYLINE,0,Original plot 106
107,Plot 107,DXF,R.S.107,107,4181.13,3495.96,317.34,107,5366.50,4487.08,411.64,LWPOLYLINE,0,Original plot 107
108,Plot 108,DXF,R.S.108,108,83591.79,69893.39,3276.50,108,1288.56,1077.40,375.67,LWPOLYLINE,0,Original plot 108
109,Plot 109,DXF,R.S.109,109,17187.60,14371.02,3108.16,109,1280.87,1070.97,248.14,LWPOLYLINE,0,Original plot 109
110,Plot 110,DXF,R.S.110,110,1250.00,1045.16,245.72,110,1265.44,1058.06,248.46,LWPOLYLINE,0,Original plot 110
111,Plot 111,DXF,R.S.111,111,5262.36,4400.00,408.79,111,1250.00,1045.16,245.72,LWPOLYLINE,0,Original plot 111
112,Plot 112,DXF,R.S.112,112,4212.95,3522.57,316.48,112,5910.49,4941.93,296.72,LWPOLYLINE,0,Original plot 112
113,Plot 113,DXF,R.S.113,113,1265.44,1058.06,245.40,113,1265.43,1058.06,245.40,LWPOLYLINE,0,Original plot 113
114,Plot 114,DXF,R.S.114,114,5347.25,4470.98,410.69,114,1265.45,1058.07,365.24,LWPOLYLINE,0,Original plot 114
115,Plot 115,DXF,R.S.115,115,1290.51,1079.03,247.62,115,1265.44,1058.07,245.40,LWPOLYLINE,0,Original plot 115
116,Plot 116,DXF,R.S.116,116,3689.22,3084.66,308.07,116,1257.72,1051.61,364.97,LWPOLYLINE,0,Original plot 116
117,Plot 117,DXF,R.S.117,117,1265.43,1058.06,245.40,117,4131.94,3454.83,314.68,LWPOLYLINE,0,Original plot 117
118,Plot 118,DXF,R.S.118,118,3645.85,3048.39,305.40,118,1296.28,1083.85,374.24,LWPOLYLINE,0,Original plot 118
119,Plot 119,DXF,R.S.119,119,4131.94,3454.83,314.68,119,4131.94,3454.83,314.68,LWPOLYLINE,0,Original plot 119
120,Plot 120,DXF,R.S.120,120,1265.43,1058.06,245.40,120,3051.65,2551.57,3261.37,LWPOLYLINE,0,Original plot 120
121,Plot 121,DXF,R.S.121,121,1288.59,1077.42,375.67,121,4147.38,3467.74,1366.12,LWPOLYLINE,0,Original plot 121
122,Plot 122,DXF,R.S.122,122,21474.70,17955.58,999.45,122,15570.97,13019.32,713.85,LWPOLYLINE,0,Original plot 122
123,Plot 123,DXF,R.S.123,123,2321.55,1941.11,819.72,123,1009.81,844.33,3107.47,LWPOLYLINE,0,Original plot 123
124,Plot 124,DXF,R.S.124,124,1265.43,1058.06,245.40,124,1334.90,1116.15,246.91,LWPOLYLINE,0,Original plot 124
125,Plot 125,DXF,R.S.125,125,5258.49,4396.77,408.25,125,5551.70,4641.93,350.45,LWPOLYLINE,0,Original plot 125
126,Plot 126,DXF,R.S.126,126,1238.43,1035.49,364.14,126,1250.00,1045.16,245.72,LWPOLYLINE,0,Original plot 126
127,Plot 127,DXF,R.S.127,127,5972.22,4993.54,297.20,127,1296.29,1083.86,317.70,LWPOLYLINE,0,Original plot 127
128,Plot 128,DXF,R.S.128,128,1258.67,1052.41,363.93,128,1250.00,1045.16,245.72,LWPOLYLINE,0,Original plot 128
129,Plot 129,DXF,R.S.129,129,1280.85,1070.95,248.14,129,1878.86,1570.97,387.42,LWPOLYLINE,0,Original plot 129
130,Plot 130,DXF,R.S.130,130,6617.44,5533.02,2522.24,130,1265.44,1058.06,245.40,LWPOLYLINE,0,Original plot 130
131,Plot 131,DXF,R.S.131,131,5815.96,4862.88,1991.73,131,1859.55,1554.82,390.69,LWPOLYLINE,0,Original plot 131
132,Plot 132,DXF,R.S.132,132,1188.28,993.55,363.93,132,4131.95,3454.84,314.68,LWPOLYLINE,0,Original plot 132
133,Plot 133,DXF,R.S.133,133,1350.32,1129.04,319.79,133,1265.44,1058.07,245.40,LWPOLYLINE,0,Original plot 133
134,Plot 134,DXF,R.S.134,134,1188.27,993.54,363.93,134,1273.14,1064.51,377.39,LWPOLYLINE,0,Original plot 134
135,Plot 135,DXF,R.S.135,135,5293.25,4425.84,409.57,135,1265.43,1058.06,245.40,LWPOLYLINE,0,Original plot 135
136,Plot 136,DXF,R.S.136,136,27351.63,22869.45,2441.02,136,5281.63,4416.12,409.82,LWPOLYLINE,0,Original plot 136
137,Plot 137,DXF,R.S.137,137,15404.91,12880.47,2328.72,137,1250.00,1045.16,245.72,LWPOLYLINE,0,Original plot 137
138,Plot 138,DXF,R.S.138,138,95088.38,79506.00,1791.46,138,3645.84,3048.38,305.70,LWPOLYLINE,0,Original plot 138
139,Plot 139,DXF,R.S.139,139,1234.63,1032.30,363.94,139,1265.44,1058.06,245.40,LWPOLYLINE,0,Original plot 139
140,Plot 140,DXF,R.S.140,140,1878.87,1570.97,387.42,140,5347.22,4470.96,410.69,LWPOLYLINE,0,Original plot 140
141,Plot 141,DXF,R.S.141,141,269727.73,225526.75,3558.91,141,1250.00,1045.16,245.72,LWPOLYLINE,0,Original plot 141
142,Plot 142,DXF,R.S.142,142,152150.61,127217.29,2278.32,142,5258.48,4396.76,408.25,LWPOLYLINE,0,Original plot 142
143,Plot 143,DXF,R.S.143,143,1549.00,1295.17,219.66,143,4131.94,3454.83,314.68,LWPOLYLINE,0,Original plot 143
144,Plot 144,DXF,R.S.144,144,1211.37,1012.86,363.82,144,1215.30,1016.15,364.02,LWPOLYLINE,0,Original plot 144
145,Plot 145,DXF,R.S.145,145,5262.37,4400.01,408.79,145,1238.42,1035.48,364.87,LWPOLYLINE,0,Original plot 145
146,Plot 146,DXF,R.S.146,146,4212.95,3522.57,316.48,146,22398.62,18728.10,7105.98,LWPOLYLINE,0,Original plot 146
147,Plot 147,DXF,R.S.147,147,23216.63,19412.06,999.29,147,8091.24,6765.30,644.62,LWPOLYLINE,0,Original plot 147
148,Plot 148,DXF,R.S.148,148,1215.27,1016.12,364.02,148,8258.94,6905.53,6135.45,LWPOLYLINE,0,Original plot 148
149,Plot 149,DXF,R.S.149,149,1296.32,1083.89,374.24,149,8998.87,7524.20,568.09,LWPOLYLINE,0,Original plot 149
150,Plot 150,DXF,R.S.150,150,6558.65,5483.87,435.08,150,2900.92,2425.54,4583.77,LWPOLYLINE,0,Original plot 150
151,Plot 151,DXF,R.S.151,151,1257.70,1051.60,364.97,151,9074.88,7587.76,5565.07,LWPOLYLINE,0,Original plot 151
152,Plot 152,DXF,R.S.152,152,1296.28,1083.86,374.24,152,19232.44,16080.77,938.42,LWPOLYLINE,0,Original plot 152
153,Plot 153,DXF,R.S.153,153,4131.91,3454.80,314.68,153,7278.31,6085.60,2157.81,LWPOLYLINE,0,Original plot 153
154,Plot 154,DXF,R.S.154,154,1257.71,1051.60,364.97,154,1368.66,1144.37,503.38,LWPOLYLINE,0,Original plot 154
155,Plot 155,DXF,R.S.155,155,1296.29,1083.87,374.24,155,1970.55,1647.63,423.97,LWPOLYLINE,0,Original plot 155
156,Plot 156,DXF,R.S.156,156,6574.08,5496.77,305.92,156,8992.02,7518.47,894.81,LWPOLYLINE,0,Original plot 156
157,Plot 157,DXF,R.S.157,157,5520.85,4616.14,347.09,157,2200.06,1839.53,691.99,LWPOLYLINE,0,Original plot 157
158,Plot 158,DXF,R.S.158,158,5258.53,4396.80,408.25,158,40983.77,34267.65,1340.49,LWPOLYLINE,0,Original plot 158
159,Plot 159,DXF,R.S.159,159,1215.28,1016.13,364.02,159,8721.88,7292.60,1786.16,LWPOLYLINE,0,Original plot 159
160,Plot 160,DXF,R.S.160,160,5258.52,4396.79,408.25,160,6780.60,5669.44,1227.57,LWPOLYLINE,0,Original plot 160
161,Plot 161,DXF,R.S.161,161,163554.67,136752.54,8233.78,161,110217.67,92156.02,2472.41,LWPOLYLINE,0,Original plot 161
162,Plot 162,DXF,R.S.162,162,1188.28,993.56,363.93,162,1273.22,1064.58,361.67,LWPOLYLINE,0,Original plot 162
163,Plot 163,DXF,R.S.163,163,1265.43,1058.06,245.40,163,1878.82,1570.93,387.42,LWPOLYLINE,0,Original plot 163
164,Plot 164,DXF,R.S.164,164,6720.68,5619.34,440.63,164,1234.62,1032.30,363.94,LWPOLYLINE,0,Original plot 164
165,Plot 165,DXF,R.S.165,165,1265.42,1058.05,365.24,165,5486.12,4587.10,347.32,LWPOLYLINE,0,Original plot 165
166,Plot 166,DXF,R.S.166,166,1238.41,1035.47,364.14,166,1238.43,1035.48,364.14,LWPOLYLINE,0,Original plot 166
167,Plot 167,DXF,R.S.167,167,1215.28,1016.13,364.02,167,1878.84,1570.95,387.42,LWPOLYLINE,0,Original plot 167
168,Plot 168,DXF,R.S.168,168,5555.55,4645.15,350.55,168,4212.95,3522.57,316.48,LWPOLYLINE,0,Original plot 168
